source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon
106303,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,90990.21691,8.86E-05,T of CO2 per VKT,1212.638098,km,,1.03E+09,vehicle km traveled (VKT),,,Myitkyina Urban Area in Myitkyina District,,25.39218049,97.38316872
106303,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,36.82793942,3.59E-08,T of CH4 per VKT,1212.638098,km,,1.03E+09,vehicle km traveled (VKT),,,Myitkyina Urban Area in Myitkyina District,,25.39218049,97.38316872
106303,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,95541.14876,5.40E-09,,1212.638098,km,,1.03E+09,vehicle km traveled (VKT),,,Myitkyina Urban Area in Myitkyina District,,25.39218049,97.38316872
106303,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,93600.31636,5.40E-09,,1212.638098,km,,1.03E+09,vehicle km traveled (VKT),,,Myitkyina Urban Area in Myitkyina District,,25.39218049,97.38316872
113033,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,1.386226812,3.91E-09,T of N2O per VKT,377.3269258,km,,3.55E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,88629.29119,0.000249803,T of CO2 per VKT,377.3269258,km,,3.55E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,3.045798678,8.58E-09,T of CH4 per VKT,377.3269258,km,,3.55E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,89259.0095,3.91E-09,,377.3269258,km,,3.55E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,89098.49591,3.91E-09,,377.3269258,km,,3.55E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,1.44036931,3.91E-09,T of N2O per VKT,392.7785886,km,,3.69E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,92090.9262,0.000249803,T of CO2 per VKT,392.7785886,km,,3.69E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
